Code,Food name in English,"Calcium
(mg)","Copper
(mg)","Fatty acids, total polyunsaturated
(g)","Fibre, total dietary or [fibre, crude]
(g)","Folate, total or [folate, sum of vitamers] (vitamin B9)
(mcg)","Iron
(mg)","Magnesium
(mg)","Phosphorus
(mg)","Potassium
(mg)","Protein, total
(g)","Sodium
(mg)","Vitamin A (expressed in retinol activity equivalents)
(mcg)","Vitamin B12
(mcg)","Vitamin C
(mg)","Vitamin D 
(mcg)","Zinc
(mg)","net_carbs
(g)"
04_042,"Okra, fruit, fresh, boiled* (without salt), drained",0.012398327165417092,0.0022555446418568385,0.0005963772709235542,0.020328860235452866,0.011026565144760336,0.002884166368516785,0.015033510880149982,0.00671559729259599,0.012592138097102686,0.003631798589897083,0.001138237111282476,0.0005992065773618356,0.0,0.022364786186952302,0.0,0.006766284690456957,0.0001550281751697748
04_044,"Onion, dried",0.03950933590046247,0.011841609369748402,0.00286261090043306,0.058788866086309635,0.030323054148090927,0.012113498747770499,0.02290820705546664,0.043040873557092484,0.10927660072773021,0.02324351097534133,0.0029878724171164993,1.7120187924623873e-05,0.0,0.07548115338096402,0.0,0.03205082221795401,0.09363701780254434
04_018,"Onion, fresh, raw",0.004132775721805698,0.003947203123249468,0.0002981886354617771,0.009889715790220313,0.004686290186523143,0.004037832915923499,0.004295288822899995,0.00671559729259599,0.011723714780061121,0.002663318965924528,0.0014227963891030948,0.0,0.0,0.015375790503529708,0.0,0.00498568345612618,0.008216493283998098
04_112,"Onion, fresh, boiled* (as part of a recipe)",0.0049593308661668375,0.0047930323639457815,0.0003578263625541325,0.012087430410269273,0.003859297800666118,0.004614666189626857,0.005369111028624994,0.008089242193354261,0.014256616121432352,0.003389678683903944,0.0017073556669237138,0.0,0.0,0.016773589640214227,0.0,0.006232104320157724,0.010076831386035401
04_043,"Onion, fresh, boiled* (without salt), drained",0.004628708808422382,0.004511089283713677,0.0003578263625541325,0.012087430410269273,0.002756641286190084,0.36282812915941154,0.0032214666171749965,0.007326106137377444,0.006440806268058271,0.003389678683903944,0.0008536778334618569,0.0,0.0,0.008386794820107114,0.0,0.004629563209260024,0.010076831386035401
04_045,"Parsley, fresh, raw",0.035872493265273454,0.004511089283713677,0.0007752904522006205,0.0263725754405875,0.02756641286190084,0.01153666547406714,0.006084992499108327,0.007173478926182081,0.06867781065603706,0.00847419670975986,0.007540820862246403,0.0053586188204072715,0.0,0.22784125927957657,0.0,0.01887437308390625,-0.0013952535765279787
04_049,"Pepper, sweet, green, fresh, raw",0.004628708808422382,0.0047930323639457815,0.0012523922689394638,0.01318628772029375,0.006615939086856202,0.005191499463330213,0.003579407352416663,0.0035104258574933586,0.012809243926363078,0.0021790791539382497,0.0014227963891030948,0.0010443314634020562,0.0,0.19569187913583266,0.0,0.004273442962393867,0.0049609016054328135
04_114,"Pepper, sweet, green, fresh, boiled* (as part of a recipe)",0.005289952923911293,0.005638861604642096,0.00143130545021653,0.014834573685330471,0.00523761844376116,0.00576833273703357,0.003937348087658329,0.003968307491079449,0.014690827779953135,0.0024211990599313886,0.0015650760280134044,0.0010785718392513038,0.0,0.18031608863230295,0.0,0.00498568345612618,0.005736042481281691
04_050,"Pepper, sweet, green, fresh, boiled* (without salt), drained",0.0049593308661668375,0.005356918524409991,0.00143130545021653,0.014834573685330471,0.003859297800666118,0.004614666189626857,0.002505585146691664,0.003663053068688722,0.007381598194853299,0.0024211990599313886,0.0012805167501927855,0.0010785718392513038,0.0,0.14676890935187448,0.0,0.0037392625920946343,0.005736042481281691
04_047,"Pepper, sweet, red, fresh, raw",0.0036368426351890137,0.001973601561624734,0.002385509083694217,0.01373571637530599,0.006615939086856202,0.012690332021473856,0.007158814704833326,0.007631360559768171,0.012809243926363078,0.004842398119862777,0.0014227963891030948,0.0017804995441608826,0.0,0.2655818359700586,0.0,0.0021367214811969337,0.007131296057809669
04_113,"Pepper, sweet, red, fresh, boiled* (as part of a recipe)",0.004132775721805698,0.0022555446418568385,0.002683697719155994,0.01593343099535495,0.00523761844376116,0.014420831842583925,0.007874696175316657,0.00885237824933108,0.014690827779953135,0.005568757837842194,0.0015650760280134044,0.0018318601079347543,0.0,0.24461484891979082,0.0,0.00249284172806309,0.008061465108828322
04_048,"Pepper, sweet, red, fresh, boiled* (without salt), drained",0.00396746469293347,0.0022555446418568385,0.002683697719155994,0.01593343099535495,0.003859297800666118,0.010959832200363782,0.004653229558141661,0.007936614982158897,0.007381598194853299,0.005568757837842194,0.0012805167501927855,0.0018318601079347543,0.0,0.1984874774092017,0.0,0.0017806012343307785,0.008061465108828322
04_046,"Pepper, chilli, fresh, raw",0.0026449764619556463,0.006202747765106305,0.0010138413605700423,0.019230002925428386,0.004134961929285127,0.007498832558143641,0.010022340586766655,0.005952461236619173,0.02496717036494498,0.0043581583078764995,0.000284559277820619,0.0007875286445326981,0.0,0.1845094860423565,0.0,0.0053418037029923345,0.006201127006791017
