PMID,title,year,journal,flag_protein,flag_net_carbs,flag_fiber,flag_calcium,flag_iron,flag_magnesium,flag_phosphorus,flag_potassium,flag_sodium,flag_zinc,flag_copper,flag_vitamin_a,flag_vitamin_c,flag_vitamin_d,flag_vitamin_b12,flag_vitamin_b6,flag_thiamine,flag_riboflavin,flag_niacin,flag_folate,flag_saturated_fat,flag_monounsaturated_fat,flag_polyunsaturated_fat,flag_linoleic_acid,flag_alpha_linolenic_acid
40567105,The School Food Environment in Ghana is Associated With Dietary Diversity and Anemia: Findings From the 2022 National Nutrition and Health Survey of In-School Adolescents.,2025,Food and nutrition bulletin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40526587,"Anemia, micronutrient deficiency, and elevated biomarkers of inflammation among women and children in two districts in the Northern Region of Ghana: A pilot study.",2025,PloS one,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
40492000,"Quantile regression application to identify key determinants of malnutrition in five West African countries of Gabon, Gambia, Liberia, Mauritania, and Nigeria.",2025,Frontiers in public health,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40478571,Risks and Benefits of Weight Gain in Children With Undernutrition.,2025,JAMA network open,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40426109,Malaria and anaemia prevalence and associated factors among pregnant women initiating antenatal care in two regions in Ghana: an analytical cross-sectional study.,2025,BMC pregnancy and childbirth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40420196,Reference intervals of haematological indices for young adults with sickle cell anaemia in Southwestern Nigeria.,2025,BMC research notes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40394903,Micronutrient Powders Combined With Malaria Chemoprevention to Improve Anaemia and Cognitive Function in Early Childhood in Mali: A Cluster-Randomised Trial.,2025,Maternal & child nutrition,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40392594,"Blood Pressure and Associated Risk Factors for Hypertension in Children with Sickle Cell Anaemia Attending University of Nigeria Teaching Hospital, Enugu, South-East Nigeria.",2024,West African journal of medicine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40390109,"Physical activity, vaso-occlusive crises and pain in patients with sickle cell anaemia in Senegal.",2025,British journal of haematology,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40367293,"Prevalence and determinants of anemia among pregnant women attending maternal and child health clinics at Sukuta Health Center, The Gambia: An institutional-based cross-sectional study.",2025,"Women's health (London, England)",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40341873,Review of simplified approaches for the provision of care to children with acute malnutrition.,2025,Igiene e sanita pubblica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40283776,Malnutrition and Climate in Niger: Findings from Climate Indices and Crop Yield Simulations.,2025,International journal of environmental research and public health,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40281575,Socioeconomic inequality in undernutrition among late female adolescent in sub-Saharan African countries: a decomposition analysis.,2025,BMC public health,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40239386,"Iron deficiency in pregnancy and its association with blood lead and manganese levels in offspring in Benin, Sub-Saharan Africa.",2025,Early human development,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40231323,Assessment of the Knowledge of Chronic Kidney Disease and Anemia Among University Students in Ghana: A Cross-Sectional Study.,2025,TheScientificWorldJournal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40204412,What works for anemia reduction among women of reproductive age? Synthesized findings from the exemplars in anemia project.,2025,The American journal of clinical nutrition,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
