Code,Food name in English,topsis_score,distance_to_ideal,distance_to_worst,rank
03_092,"Cowpea, black, not soaked, boiled* (without salt), with cooking liquid",0.06552199897538005,0.1935486790557341,0.013570888064642477,558.0
04_079,"Vernonia, leaves, sweet, fresh, raw",0.0654872948575846,0.1931909229909442,0.013538126199995155,560.0
05_002,"Avocado, fruit, raw",0.06545866542114112,0.19342108224457938,0.013547914297176085,561.0
04_088,"Bean, green, boiled* (as part of a recipe)",0.0654275589472876,0.19341597554221113,0.013540667994533124,562.0
04_063,"Taro, leaves, fresh, boiled* (without salt), drained",0.06541744265927431,0.19352676062254445,0.013546182374817075,563.0
01_121,"Porridge, stiff, from wholegrain yellow maize meal* (without salt)",0.06538027103354499,0.1933749219286108,0.013527324980357816,564.0
03_110,"Jack bean, not soaked, boiled* (without salt), with cooking liquid",0.06530553326276793,0.1937961278212237,0.013540210113581943,565.0
03_112,"Jack bean, soaked, boiled in different water* (without salt), with cooking liquid",0.06530553326276793,0.1937961278212237,0.013540210113581943,565.0
02_003,"Cassava, tuber, white flesh, boiled* (without salt), drained",0.06529515888312579,0.1936684959270024,0.01352899295685624,567.0
02_098,Kou né barâand moomd saagbo (Burkina Faso)*: foutou of yam with ripe plantain,0.06521144639214184,0.1934229902717917,0.013493311308139968,568.0
02_044,"Plantain, ripe, orange flesh, raw",0.06520360954491417,0.1934205507878976,0.013491406471302874,569.0
01_036,"Rice, white, polished, raw",0.06515309915452087,0.19383237262138983,0.01350892834039021,570.0
01_109,"Porridge, stiff, from sifted white maize meal fortified with vitamin A (Nigeria)* (without salt)",0.06503861875660144,0.1935899341111527,0.013466675920909596,571.0
01_105,"Porridge, stiff, from wholegrain white maize meal* (without salt)",0.0650180585078073,0.19365004293516772,0.013466302676930648,572.0
04_003,"Bean, green, raw",0.06501638485426814,0.19368376528471157,0.013468276897891724,573.0
02_022,"Sweet potato, pale flesh (white/cream/pale yellow), raw",0.06496999760198792,0.19339872666431954,0.013438194256209323,574.0
03_083,"Broad bean, not soaked, boiled* (without salt), with cooking liquid",0.06496621467920423,0.193873345828393,0.013470334017226722,575.0
03_085,"Broad bean, soaked, boiled in different water* (without salt), with cooking liquid",0.06496621467920423,0.193873345828393,0.013470334017226722,575.0
01_107,"Porridge, stiff, from sifted white maize meal, unfortified* (without salt)",0.06496274697249714,0.19369069895971902,0.013456875463202789,577.0
02_069,"Sweet potato, pale flesh (white/cream/pale yellow), boiled* (as part of a recipe)",0.06492929852948533,0.1934125424042703,0.013430150987903238,578.0
02_092,Banakou né kou saagbo (Burkina Faso)*: foutou of yam and cassava,0.06486922114759096,0.19370324601330477,0.013437028260435932,579.0
01_174,Gappal (Burkina Faso)*: pearl millet porridge with milk and sugar,0.06486853581177064,0.1911107115272609,0.013257036587343113,580.0
01_098,"Maize dough, fermented (tô), from decorticated white maize only, cooked",0.06484904933829208,0.1937502719708667,0.013435821176736924,581.0
03_060,"African yam bean, not soaked, boiled* (without salt), with cooking liquid",0.06474687205126796,0.19411122383634521,0.013438174327213613,582.0
02_091,Banakou né barâand moomd saagbo (Burkina Faso)*: foutou of cassava and ripe plantain,0.06472260423930411,0.19395479094724355,0.013421963613891657,583.0
02_060,"Plantain, ripe, orange flesh, boiled* (as part of a recipe)",0.06471263619902783,0.1937235224464392,0.01340375195525291,584.0
02_081,"French fries, deep fried in unfortified vegetable oil*",0.06470160655628561,0.19229318459922365,0.013302362177256215,585.0
02_059,"Plantain, ripe, orange flesh, boiled* (without salt), drained",0.06468346799556471,0.19373948225738816,0.01339839634098718,586.0
14_031,"Katre nagouri vând koèng zéindo (Burkina Faso)*: dried sicklepod leaf sauce with vegetables, shea butter, groundnut paste and fermented African locust beans",0.0646709351214406,0.19050440901558027,0.013171939949705919,587.0
01_093,"Maize, white, refined flour (super), fortified with vitamin A (Nigeria)",0.06466058116347138,0.19464081493457305,0.013455637556103883,588.0
04_078,"Waterleaf, leaves, fresh, raw",0.0645956882257697,0.1937964749041519,0.013382893915057396,589.0
11_027,"Soya oil, fortified with vitamin A, 1100–2400 mcg/100g (Benin, Burkina Faso, Côte d’Ivoire, Guinea, Guinea-Bissau, Liberia, Mali, Niger, Senegal, Togo)",0.0645634595654674,0.19640832225072558,0.013556024619334922,590.0
14_023,Téi zéindo (Burkina Faso)*: simple oil palm fruit sauce with fish and vegetables,0.06454132533180677,0.1916445458068003,0.013222383108874712,591.0
01_005,"Maize, white, whole kernel, boiled* (without salt), drained",0.06452816371379529,0.19396491028561022,0.01337955778052112,592.0
01_104,"Maize, white, whole kernel, boiled* (as part of a recipe)",0.06452639241660764,0.19395989147319653,0.013378818994812119,593.0
02_023,"Sweet potato, pale flesh (white/cream/pale yellow), boiled* (without salt), drained",0.06451132585190887,0.1937108201610922,0.013358303724877047,594.0
04_074,"Native eggplant, fruit, raw",0.06447706761298108,0.19401827994042756,0.013371911388590159,595.0
05_012,"Jujube, raw",0.06447588790515009,0.19481786186142985,0.013426756682060847,596.0
01_046,"Bread, wheat, white, unfortified",0.06446165368354392,0.18987070751664217,0.01308271311462325,597.0
01_007,"Maize, yellow, whole kernel, boiled* (without salt), drained",0.06445508601032424,0.19397128188039722,0.013363800572456345,598.0
01_120,"Maize, yellow, whole kernel, boiled* (as part of a recipe)",0.06445246472399951,0.1939662484769013,0.013362872880548873,599.0
04_034,"Eggplant, fruit, boiled* (without salt), drained",0.0644452971430399,0.19404378403438202,0.013366625471143158,600.0
04_120,"Waterleaf, leaves, fresh, boiled* (as part of a recipe)",0.0644019951717085,0.19382273275988454,0.013341809874488065,601.0
03_102,"Cowpea, dehulled, not soaked, boiled* (without salt), with cooking liquid",0.06433562158285488,0.1943995508528871,0.013366775767082173,602.0
03_104,"Cowpea, dehulled, soaked, boiled in different water* (without salt), with cooking liquid",0.06433562158285488,0.1943995508528871,0.013366775767082173,602.0
02_042,"Plantain, ripe, ivory flesh, raw",0.06433075347741007,0.19398485971727486,0.013337183235636782,604.0
04_004,"Okra, leaves, fresh, raw",0.06432153792356567,0.19516851563422605,0.013416509611639866,605.0
11_019,"Cottonseed oil, fortified with vitamin A, 1100–2400 mcg/100g (Benin, Burkina Faso, Côte d’Ivoire, Guinea, Guinea-Bissau, Liberia, Mali, Niger, Senegal, Togo)",0.06429353322896379,0.19669162635307558,0.013514921680972868,606.0
07_021,"Beef tripe, raw",0.06425852437890808,0.19593453841951028,0.013455067068971557,607.0
01_081,"Maize, white, refined flour (super), unfortified",0.06421745293782313,0.1949216856984516,0.013376370629265185,608.0
04_026,"Bean, green, boiled* (without salt), drained",0.06414895882221798,0.19427563410110707,0.01331684114645838,609.0
04_051,"Pumpkin, squash, light orange flesh, raw",0.06407099811270173,0.1943147807067768,0.013302229039626585,610.0
