Code,Food name in English,"Calcium
(mg)","Copper
(mg)","Fatty acids, total polyunsaturated
(g)","Fibre, total dietary or [fibre, crude]
(g)","Folate, total or [folate, sum of vitamers] (vitamin B9)
(mcg)","Iron
(mg)","Magnesium
(mg)","Phosphorus
(mg)","Potassium
(mg)","Protein, total
(g)","Sodium
(mg)","Vitamin A (expressed in retinol activity equivalents)
(mcg)","Vitamin B12
(mcg)","Vitamin C
(mg)","Vitamin D 
(mcg)","Zinc
(mg)","net_carbs
(g)"
09_080,"North African catfish, fillet, steamed* (without salt)",7.61927375871995e-05,4.641038357730053e-06,6.822752317561631e-05,0.0,0.00020419565082889482,0.001459886680360348,7.365035704561017e-05,0.00011556957555533523,8.100519281046028e-05,0.0068550821120691155,0.00014754925516624652,1.6204293097380607e-05,0.00021616409572411998,0.0,0.00013711347424023875,0.0014178861680782104,0.0
09_037,"Sardine, canned in oil, drained, with bones",0.0011456122330075354,1.7403893841487696e-05,0.0003003974401689006,0.0,0.00010209782541444741,0.00700745606572967,0.00014140868552757152,0.00029520489408156283,0.0001042346231016952,0.007907257506014608,0.0015387279467337137,7.940103617716498e-05,0.0005721990769167882,0.0,0.0005235241743718206,0.0019454717189910328,0.0
09_004,"Sardine, fillet, raw",0.00013605845997714198,5.801297947162567e-06,2.994157491879565e-05,0.0,0.0003913749974220484,0.004963614713225184,0.00012962462840027388,0.0002279986735140581,6.790141162053286e-05,0.006313052363672953,0.00018970618521374556,2.106558102659479e-05,0.0005276947042677047,0.0,0.0004362701453098505,0.0016816789435346216,0.0
09_087,"Sardine, fillet, boiled* (as part of a recipe)",0.00016327015197257038,8.121817126027593e-06,3.632256629493243e-05,0.0,0.0003913749974220484,0.006131524057513463,0.00015613875693669356,0.00027510583746324365,8.189863243704624e-05,0.007588416477546277,0.00022835003775728628,2.2686010336332853e-05,0.0005721990769167882,0.0,0.00047366472919355195,0.00203340264414317,0.0
09_036,"Sardine, fillet, grilled* (without salt or fat)",0.00019592418236708445,8.121817126027593e-06,4.3685248652013326e-05,0.0,0.0004424239101292721,0.006131524057513463,0.00016792281406399117,0.0002977172761588527,8.368551169021815e-05,0.009150737517041098,0.00023186311526124457,2.7547298265547032e-05,0.0006993544273427412,0.0,0.0005733836195500892,0.002440083172971804,0.0
09_035,"Sardine, fillet, steamed* (without salt)",0.00016327015197257038,6.961557536595079e-06,3.632256629493243e-05,0.0,0.00032330978047908347,0.004963614713225184,0.0001325706426820983,0.0002336515331879604,6.134952102556918e-05,0.007588416477546277,0.0001932192627177038,2.2686010336332853e-05,0.0005086214017038117,0.0,0.00047366472919355195,0.00203340264414317,0.0
09_056,"Sea snail/whelk, flesh, raw",0.00015510664437394186,0.00011950673771154886,2.4542274523602996e-06,0.0,0.00010209782541444741,0.014598866803603481,0.00025335722823689895,8.856146822446885e-05,0.00010334118347510925,0.007588416477546277,0.0007236939658153997,4.213116205318958e-05,0.0005721990769167882,0.00016106327500891565,0.0,0.0017915925999747928,0.00014928639090422722
09_101,"Sea snail/whelk, boiled* (as part of a recipe)",0.00018776067476845593,0.00014387218908963164,2.4542274523602996e-06,0.0,0.00010209782541444741,0.017810617500396246,0.00030638548530973825,0.0001067762382848206,0.00012448592130431027,0.009150737517041098,0.0008712432209816462,4.5372020672665706e-05,0.0006230612170871694,0.00016106327500891565,0.0,0.0021543076662273583,0.00017799531223196326
09_100,"Sea snail/whelk, grilled* (without salt or fat)",0.00022585704356205567,0.00016475686169941688,2.945072942832359e-06,0.0,0.00011911412965018864,0.018102594836468318,0.00032995359956433353,0.00011556957555533523,0.00012716624018406815,0.011031899585004251,0.0008923216860053958,5.3474167221356e-05,0.0007629321025557175,0.00020132909376114458,0.0,0.0025939622919880436,0.00021435994591376215
09_099,"Sea snail/whelk, steamed* (without salt)",0.00018776067476845593,0.0001299490740164415,2.4542274523602996e-06,0.0,8.508152117870617e-05,0.01401491213145934,0.00025924925680054776,9.044575478243628e-05,9.35133475826637e-05,0.009150737517041098,0.0007412593533351909,4.213116205318958e-05,0.0005531257743528952,0.00016106327500891565,0.0,0.0021543076662273583,0.00017799531223196326
